일자,특성추출,문서 식별자,Value
20190926,abracadabra,2,-7.233816364303033
20190926,acc,2,-7.233816364303033
20190926,acenter,1,-7.9269635448629785
20190926,acf,1,-7.9269635448629785
20190926,acha,2,-7.233816364303033
20190926,action,2,-7.233816364303033
20190926,ad,1,-7.9269635448629785
20190926,adultism,1,-7.9269635448629785
20190926,ahrisons,1,-7.9269635448629785
20190926,ai,7,-5.981053395807665
20190926,ai면접체험,1,-7.9269635448629785
20190926,ai스피커,1,-7.9269635448629785
20190926,ak,1,-7.9269635448629785
20190926,akmu,12,-5.442056895074979
20190926,ak골프,1,-7.9269635448629785
20190926,alligator,1,-7.9269635448629785
20190926,ana,1,-7.9269635448629785
20190926,ani,1,-7.9269635448629785
20190926,ans,2,-7.233816364303033
20190926,aoa,4,-6.540669183743088
20190926,aomg,8,-5.847522003183142
20190926,aomgofficial,1,-7.9269635448629785
20190926,apap,1,-7.9269635448629785
20190926,ap통신,2,-7.233816364303033
20190926,ar,5,-6.317525632428878
20190926,argon,2,-7.233816364303033
20190926,art,1,-7.9269635448629785
20190926,artpark,11,-5.529068272064608
20190926,arts,1,-7.9269635448629785
20190926,ase,1,-7.9269635448629785
20190926,asf,4,-6.540669183743088
20190926,asmr,1,-7.9269635448629785
20190926,attitude,1,-7.9269635448629785
20190926,at센터,1,-7.9269635448629785
20190926,avia,2,-7.233816364303033
20190926,avk,1,-7.9269635448629785
20190926,a동,1,-7.9269635448629785
20190926,a병원,1,-7.9269635448629785
20190926,a씨,13,-5.362014187401442
20190926,a양,1,-7.9269635448629785
20190926,ba,2,-7.233816364303033
20190926,baam,1,-7.9269635448629785
20190926,baby,1,-7.9269635448629785
20190926,bad,2,-7.233816364303033
20190926,band,2,-7.233816364303033
20190926,basic,1,-7.9269635448629785
20190926,bastion,13,-5.362014187401442
20190926,bath,1,-7.9269635448629785
20190926,bb,1,-7.9269635448629785
20190926,bbc,6,-6.135204075634924
20190926,bbyong,1,-7.9269635448629785
20190926,beautiful,1,-7.9269635448629785
20190926,beauty,3,-6.8283512561948685
20190926,bell,2,-7.233816364303033
20190926,belly,1,-7.9269635448629785
20190926,best,1,-7.9269635448629785
20190926,bhj,1,-7.9269635448629785
20190926,bi,3,-6.8283512561948685
20190926,biff,4,-6.540669183743088
20190926,big,1,-7.9269635448629785
20190926,bill,2,-7.233816364303033
20190926,bj,1,-7.9269635448629785
20190926,black,1,-7.9269635448629785
20190926,bmx,1,-7.9269635448629785
20190926,body,2,-7.233816364303033
20190926,bomb,1,-7.9269635448629785
20190926,bottom,1,-7.9269635448629785
20190926,bovo,1,-7.9269635448629785
20190926,break,1,-7.9269635448629785
20190926,breathing,1,-7.9269635448629785
20190926,bright,1,-7.9269635448629785
20190926,brother,1,-7.9269635448629785
20190926,browneyedgirls,1,-7.9269635448629785
20190926,bts,4,-6.540669183743088
20190926,building,1,-7.9269635448629785
20190926,bukseongrofesta,1,-7.9269635448629785
20190926,button,1,-7.9269635448629785
20190926,byc,1,-7.9269635448629785
20190926,byh,3,-6.8283512561948685
20190926,b개주,1,-7.9269635448629785
20190926,b급영화,1,-7.9269635448629785
20190926,b동,2,-7.233816364303033
20190926,call,2,-7.233816364303033
20190926,canvas,1,-7.9269635448629785
20190926,capitol,3,-6.8283512561948685
20190926,career,1,-7.9269635448629785
20190926,catch,1,-7.9269635448629785
20190926,cavity,1,-7.9269635448629785
20190926,cazobon,1,-7.9269635448629785
20190926,cbs,1,-7.9269635448629785
20190926,cbsi,1,-7.9269635448629785
20190926,cbsmit,2,-7.233816364303033
20190926,cc,2,-7.233816364303033
20190926,ccc,1,-7.9269635448629785
20190926,cctv,2,-7.233816364303033
20190926,cd,3,-6.8283512561948685
20190926,ceo,4,-6.540669183743088
20190926,cg,1,-7.9269635448629785
20190926,cgv,22,-4.835921091504662
20190926,cgv용산,2,-7.233816364303033
20190926,cgv용산아이파크몰,1,-7.9269635448629785
20190926,chacha,3,-6.8283512561948685
20190926,challenge,1,-7.9269635448629785
20190926,chance,1,-7.9269635448629785
20190926,change,1,-7.9269635448629785
20190926,chapter,2,-7.233816364303033
20190926,china,1,-7.9269635448629785
20190926,chopd,1,-7.9269635448629785
20190926,chosh,1,-7.9269635448629785
20190926,chosun,4,-6.540669183743088
20190926,ci,3,-6.8283512561948685
20190926,citizen,1,-7.9269635448629785
20190926,city,1,-7.9269635448629785
20190926,cj,5,-6.317525632428878
20190926,cj엔터테인먼트,1,-7.9269635448629785
20190926,classic,1,-7.9269635448629785
20190926,clearly,1,-7.9269635448629785
20190926,cleft,1,-7.9269635448629785
20190926,cm,4,-6.540669183743088
20190926,cnn,1,-7.9269635448629785
20190926,coating,1,-7.9269635448629785
20190926,coffeestorya,1,-7.9269635448629785
20190926,cold,1,-7.9269635448629785
20190926,colorful,5,-6.317525632428878
20190926,colour,1,-7.9269635448629785
20190926,coming,1,-7.9269635448629785
20190926,commune,1,-7.9269635448629785
20190926,comte,1,-7.9269635448629785
20190926,cool,1,-7.9269635448629785
20190926,co사랑,1,-7.9269635448629785
20190926,cp,1,-7.9269635448629785
20190926,cpi,1,-7.9269635448629785
20190926,crazy,1,-7.9269635448629785
20190926,cry,1,-7.9269635448629785
20190926,csi,2,-7.233816364303033
20190926,ct,1,-7.9269635448629785
20190926,cucamonga,1,-7.9269635448629785
20190926,damho,1,-7.9269635448629785
20190926,dance,1,-7.9269635448629785
20190926,daniel,4,-6.540669183743088
20190926,dare,1,-7.9269635448629785
20190926,data,1,-7.9269635448629785
20190926,daughter,1,-7.9269635448629785
20190926,daumsoft,1,-7.9269635448629785
20190926,dave,1,-7.9269635448629785
20190926,db,7,-5.981053395807665
20190926,dc,1,-7.9269635448629785
20190926,dd,2,-7.233816364303033
20190926,ddp,1,-7.9269635448629785
20190926,de,3,-6.8283512561948685
20190926,dear,6,-6.135204075634924
20190926,deep,1,-7.9269635448629785
20190926,deja,1,-7.9269635448629785
20190926,deleted,1,-7.9269635448629785
20190926,der,1,-7.9269635448629785
20190926,desk,3,-6.8283512561948685
20190926,development,1,-7.9269635448629785
20190926,dh,2,-7.233816364303033
20190926,dhlfyd,4,-6.540669183743088
20190926,di,1,-7.9269635448629785
20190926,diorama,1,-7.9269635448629785
20190926,director,1,-7.9269635448629785
20190926,district,1,-7.9269635448629785
20190926,diy,2,-7.233816364303033
20190926,dj,10,-5.624378451868933
20190926,dj김영철,2,-7.233816364303033
20190926,dmc,1,-7.9269635448629785
20190926,dmd,1,-7.9269635448629785
20190926,dmt,1,-7.9269635448629785
20190926,dmz,6,-6.135204075634924
20190926,dna,7,-5.981053395807665
20190926,door,2,-7.233816364303033
20190926,dpt,1,-7.9269635448629785
20190926,dream,4,-6.540669183743088
20190926,du,2,-7.233816364303033
20190926,d라인,1,-7.9269635448629785
20190926,easy,1,-7.9269635448629785
20190926,eau,1,-7.9269635448629785
20190926,ebs,4,-6.540669183743088
20190926,eco,2,-7.233816364303033
20190926,ecological,1,-7.9269635448629785
20190926,ecothink,1,-7.9269635448629785
20190926,eco사랑,2,-7.233816364303033
20190926,edm,3,-6.8283512561948685
20190926,edu,1,-7.9269635448629785
20190926,eeem,1,-7.9269635448629785
20190926,effect,1,-7.9269635448629785
20190926,egee,3,-6.8283512561948685
20190926,emc,1,-7.9269635448629785
20190926,emer,1,-7.9269635448629785
20190926,en,4,-6.540669183743088
20190926,encore,3,-6.8283512561948685
20190926,en스타,4,-6.540669183743088
20190926,ep,2,-7.233816364303033
20190926,epfl,1,-7.9269635448629785
20190926,er,2,-7.233816364303033
20190926,esc,1,-7.9269635448629785
20190926,event,1,-7.9269635448629785
20190926,ewc,1,-7.9269635448629785
20190926,exid,3,-6.8283512561948685
20190926,exo,2,-7.233816364303033
20190926,eye,2,-7.233816364303033
20190926,ez수학,1,-7.9269635448629785
20190926,e글중심,1,-7.9269635448629785
20190926,e메일,1,-7.9269635448629785
20190926,e모빌리티,1,-7.9269635448629785
20190926,fairytale,2,-7.233816364303033
20190926,faithful,1,-7.9269635448629785
20190926,fall,1,-7.9269635448629785
20190926,falltofly,1,-7.9269635448629785
20190926,farandole,1,-7.9269635448629785
20190926,father,1,-7.9269635448629785
20190926,fc,10,-5.624378451868933
20190926,fc팀,1,-7.9269635448629785
20190926,fear,3,-6.8283512561948685
20190926,feat,1,-7.9269635448629785
20190926,feel,8,-5.847522003183142
20190926,festival,2,-7.233816364303033
20190926,fil,1,-7.9269635448629785
20190926,film,2,-7.233816364303033
20190926,find,1,-7.9269635448629785
20190926,finna,2,-7.233816364303033
20190926,fire,1,-7.9269635448629785
20190926,fl,1,-7.9269635448629785
20190926,flexible,1,-7.9269635448629785
20190926,flexitarian,1,-7.9269635448629785
20190926,flower,1,-7.9269635448629785
20190926,fly,7,-5.981053395807665
20190926,fm,21,-4.882441107139556
20190926,fn,11,-5.529068272064608
20190926,fnc,1,-7.9269635448629785
20190926,fnc엔터테인먼트,1,-7.9269635448629785
20190926,follow,2,-7.233816364303033
20190926,forced,1,-7.9269635448629785
20190926,forever,2,-7.233816364303033
20190926,form,2,-7.233816364303033
20190926,formed,1,-7.9269635448629785
20190926,forum,1,-7.9269635448629785
20190926,forward,2,-7.233816364303033
20190926,freedom,3,-6.8283512561948685
20190926,ft,2,-7.233816364303033
20190926,ftv,1,-7.9269635448629785
20190926,ft아일랜드,5,-6.317525632428878
20190926,ga,1,-7.9269635448629785
20190926,gafa,1,-7.9269635448629785
20190926,gapi,1,-7.9269635448629785
20190926,gdp,1,-7.9269635448629785
20190926,genie,1,-7.9269635448629785
