,community
cc,0
장거리,0
추석연휴,0
출발,0
변호사,0
캠핑장,0
탑승객,0
노엘,0
마포경찰서,0
음주운전,0
마포구,0
승용차,0
온라인,0
장제원,0
동해,0
피의자들,0
코레일,0
시간date,0
벤츠,0
소환조사,0
도로교통법,0
교통사고,0
청량,0
동승자,0
리행,0
망상동,0
무궁화호,0
기관사,0
경찰관,0
부상자,0
상대,0
장용준,0
강원,0
아반떼,0
영동선,0
운전자,0
원인,0
조수석,0
홈페이지,0
차단기,0
철길,0
강릉,0
tv,0
전화번호,0
차량,0
망상,0
사망,0
열차,0
인근,0
장씨,0
cctv,0
경위,0
휴대폰,0
정확,0
확인,0
음주사고,0
동해시,0
복수응답,1
자녀,1
스트레스,1
여성,1
응답자,1
복수,1
사진,1
사진기사,1
명절,1
대상,1
애인,1
직장인들,1
기사,1
잔소리,1
수준,1
취업준비생,1
취업포털,1
추석,1
결과,1
조사,1
대학생,1
남녀,1
연봉,1
성인,1
응답,1
잡코리아,1
친척들,1
계획,1
결혼,1
취직,1
취업,1
출산,1
질문,1
직장인,1
설문조사,1
전문가들,1
절반,1
차들,2
경쟁률,2
춘천,2
민주노총,2
목포,2
고등학교,2
귀성길,2
보름달,2
부산,2
지역별,2
수시모집,2
학생들,2
서해,2
보호자,2
사교육,2
수원,2
서해안고속도로,2
제주도,2
앞바다,2
한국도로공사,2
연구소,2
교통안전,2
휴게소,2
인천,2
제주,2
최고기온,2
중부고속도로,2
청주,2
강원도,2
경기도,2
요금소,2
도로공사,2
남해,2
우울증,2
노동자들,2
대구,2
전북,2
전남,2
전씨,2
위원장,2
자회사,2
링링,2
시민들,2
대법원,2
아이들,2
학부모,2
분기점,2
분들,2
오랜만,2
서울시,2
신고가,2
응급실,2
장애인,2
성평등,2
지병,2
양산,2
교육청,2
전주,2
수도권,2
귀경길,2
주차장,2
수납원,2
동료들,2
자동차,2
경부고속도로,2
경남,2
교통량,2
국민일보,2
중국,2
기상청,2
나들목,2
고속도로,2
시장,2
항소장,3
최연미,3
서울남부지법,3
보복운전,3
최민수,3
항소,3
재판,3
객실,3
부의금,3
벌금,3
판사,3
영등포구,3
올케,3
충분히,3
추돌사고,3
최씨,3
특수협박,3
상해,3
범행,3
제출,3
증거,3
회복,3
여의도,3
공포심,3
벌금형,3
피해,3
형사,3
형사처벌,3
모친상,3
불구속,3
민사소송,3
국가,3
피해자들,3
정진원,3
기소,3
폭발물,3
소방공무원,3
양형,3
거짓말,3
공무원,3
송파구,3
공무원들,3
운전,3
롯데월드타워,3
박준민,3
보안직원,3
보호관찰,3
부장판사,3
서울동부지법,3
선고,3
설치,3
휴대전화,3
혐의,3
허위,3
치안질서,3
징역형,3
집행유예,3
집행,3
직무집행,3
조현병,3
정신과,3
재판부,3
직원,3
부인,3
심신미약,3
진술,3
변호인,3
신고,3
마음,4
소방당국,4
소방대,4
소방서,4
연구원,4
전동킥보드,4
충전기,4
킥보드,4
타박상,4
보일러실,4
소방관,4
송정동,4
친구,4
첫날,4
주민,4
출입문,4
국립과학수사연구원,4
국과수,4
양씨,4
부부,4
무작정,4
대피,4
불길,4
광주,4
광주광역시,4
냉장고,4
사상자,4
충남,4
폭발음,4
천안시,4
청테이프,4
주민들,4
광산경찰서,4
가족들,4
사람들,4
안쪽,4
광산구,4
시간대,4
화재,4
구조,4
병원,4
연휴,4
현장,4
현관문,4
천안,4
양문,4
아파트,4
미국,4
쌍용동,4
발견,4
냉장실,4
냉동실,4
아들,4
전문가,5
국민들,5
방어권,5
반론권,5
전문의,5
요추,5
연휴가,5
형집행정지,5
무력화,5
신청서,5
게이트,5
서울구치소,5
청년들,5
검찰,5
구치소,5
sns,5
국정농단,5
자신,5
신고자,5
대표,5
의료진,5
서울아산병원,5
사회,5
웰스씨앤티,5
당사자,5
수사과정,5
투자사,5
표창장,5
하드디스크,5
자본시장법,5
형사사법절차,5
자유한국당,5
실시간,5
조씨,5
코링크pe,5
코링크프라이빗에쿼티,5
필요성,5
뉴시스,5
회삿돈,5
서울중앙지법,5
사회관계망서비스,5
명재권,5
구속영장,5
관련자,5
가로등,5
부모님,5
검사,5
부산대,5
조국,5
정권,5
전개,5
장관,5
의혹,5
홍준표,5
비공개,5
서울대,5
코링크,5
대검찰청,5
만큼,5
법조계,5
부작용,5
사모펀드,5
사문서,5
송광수,5
압수수색,5
운용사,5
윤석열,5
인사권,5
인사청문회,5
정경심,5
중수부,5
차장검사,5
청문회,5
치료사,5
특수수사,5
한국투자증권,5
녹취록,5
형사부,5
노동자,5
노무현,5
서울중앙지검,5
수사권,5
수사팀,5
청와대,5
특별수사,5
진실,5
검사들,5
검찰개혁,5
검찰국장,5
기자들,5
동양대,5
법무부,5
부장검사,5
증거인멸,5
특수부,5
교수,5
문재인,5
보도,5
주장,5
구의역,5
투자처,5
후보자,5
박근혜,5
직원들,5
법무장관,5
위원회,5
사실상,5
불가능,5
보고서,5
달간,5
사망자,5
과태료,5
고용노동부,5
갑질,5
제조업체,5
민정수석,5
언론,5
그간,5
대표가,5
대한민국,5
경북,5
제대로,5
임의제출,5
상관의,5
청년전태일,5
최순실,5
페이스북,5
피의사실,5
프라이빗뱅커,5
대통령,5
그동안,5
임은정,5
검경,5
근로자,5
방문해,5
사업장,5
업무상,5
연구실,5
영덕,5
외국인,5
검찰총장,5
중국산,6
조개젓,6
의약품,6
안전처,6
간염,6
질병관리본부,6
