일자,특성추출,문서 식별자,Value
20190919,囹圄,1,-6.594413459749778
20190919,희생자,3,-5.495801171081668
20190919,희망사다리,1,-6.594413459749778
20190919,희망,1,-6.594413459749778
20190919,희귀의약품,1,-6.594413459749778
20190919,흥덕구,7,-4.648503310694465
20190919,흡입,1,-6.594413459749778
20190919,흡연자,1,-6.594413459749778
20190919,흑색선전사범,1,-6.594413459749778
20190919,흑색선전,1,-6.594413459749778
20190919,흉악범,1,-6.594413459749778
20190919,휴직원,6,-4.802653990521723
20190919,휴직기간,2,-5.901266279189833
20190919,휴직,2,-5.901266279189833
20190919,휴일,1,-6.594413459749778
20190919,휴식기,1,-6.594413459749778
20190919,휴무제,1,-6.594413459749778
20190919,휴무일,2,-5.901266279189833
20190919,휴먼라이츠워치,1,-6.594413459749778
20190919,휴머니즘,1,-6.594413459749778
20190919,휴대폰,1,-6.594413459749778
20190919,휴대전화,3,-5.495801171081668
20190919,휴게시설,5,-4.984975547315678
20190919,휴강계획서,2,-5.901266279189833
20190919,휴가비,3,-5.495801171081668
20190919,휠체어컬링대회,1,-6.594413459749778
20190919,훼라민큐,1,-6.594413459749778
20190919,후타바,1,-6.594413459749778
20190919,후쿠시마원전,1,-6.594413459749778
20190919,후쿠시마,3,-5.495801171081668
20190919,후진,1,-6.594413459749778
20190919,후임,1,-6.594413459749778
20190919,후유증,4,-5.208119098629887
20190919,후원한도액,1,-6.594413459749778
20190919,후원금,3,-5.495801171081668
20190919,후원,1,-6.594413459749778
20190919,후성,1,-6.594413459749778
20190919,후보자,4,-5.208119098629887
20190919,후보,1,-6.594413459749778
20190919,후배들,5,-4.984975547315678
20190919,후반,1,-6.594413459749778
20190919,후견인,1,-6.594413459749778
20190919,후견개시,1,-6.594413459749778
20190919,후견감독,1,-6.594413459749778
20190919,효자동,1,-6.594413459749778
20190919,효력,1,-6.594413459749778
20190919,효과,2,-5.901266279189833
20190919,횡행,1,-6.594413459749778
20190919,횡령혐의,1,-6.594413459749778
20190919,횡령죄,1,-6.594413459749778
20190919,횡령액수,1,-6.594413459749778
20190919,횡령액,1,-6.594413459749778
20190919,횟집,1,-6.594413459749778
20190919,회전근개,1,-6.594413459749778
20190919,회장,3,-5.495801171081668
20190919,회의진행,1,-6.594413459749778
20190919,회의장,1,-6.594413459749778
20190919,회의순서,1,-6.594413459749778
20190919,회의,7,-4.648503310694465
20190919,회원들,3,-5.495801171081668
20190919,회원권,1,-6.594413459749778
20190919,회원국,3,-5.495801171081668
20190919,회원,1,-6.594413459749778
20190919,회순채택,1,-6.594413459749778
20190919,회순,1,-6.594413459749778
20190919,회성,3,-5.495801171081668
20190919,회삿돈,7,-4.648503310694465
20190919,회사자금,1,-6.594413459749778
20190919,회사원,2,-5.901266279189833
20190919,회사명,1,-6.594413459749778
20190919,회사,4,-5.208119098629887
20190919,회복중,1,-6.594413459749778
20190919,회료,1,-6.594413459749778
20190919,회로,1,-6.594413459749778
20190919,회동,1,-6.594413459749778
20190919,회관,1,-6.594413459749778
20190919,회견문,2,-5.901266279189833
20190919,회견,1,-6.594413459749778
20190919,황희석,2,-5.901266279189833
20190919,황호덕,1,-6.594413459749778
20190919,황현희,1,-6.594413459749778
20190919,황해남도,1,-6.594413459749778
20190919,황토방,1,-6.594413459749778
20190919,황제성,1,-6.594413459749778
20190919,황제,1,-6.594413459749778
20190919,황의환,1,-6.594413459749778
20190919,황용식,2,-5.901266279189833
20190919,황명재,1,-6.594413459749778
20190919,황교안,3,-5.495801171081668
20190919,황계리,2,-5.901266279189833
20190919,활어차,1,-6.594413459749778
20190919,활성화,8,-4.514971918069943
20190919,활력소,1,-6.594413459749778
20190919,활력,1,-6.594413459749778
20190919,활동자,1,-6.594413459749778
20190919,활동량,2,-5.901266279189833
20190919,활동기회,1,-6.594413459749778
20190919,활동가,1,-6.594413459749778
20190919,활동,1,-6.594413459749778
20190919,환치기,1,-6.594413459749778
20190919,환절기,1,-6.594413459749778
20190919,환자증례,1,-6.594413459749778
20190919,환자수,1,-6.594413459749778
20190919,환자들,1,-6.594413459749778
20190919,환자군,1,-6.594413459749778
20190919,환자,5,-4.984975547315678
20190919,환송심,2,-5.901266279189833
20190919,환경정책,1,-6.594413459749778
20190919,환경오염,1,-6.594413459749778
20190919,환경부,12,-4.109506809961777
20190919,환경미화원,1,-6.594413459749778
20190919,환경단체,2,-5.901266279189833
20190919,환경,1,-6.594413459749778
20190919,확충,1,-6.594413459749778
20190919,확정판결,2,-5.901266279189833
20190919,확정자,1,-6.594413459749778
20190919,확인서,1,-6.594413459749778
20190919,확인,6,-4.802653990521723
20190919,확보,3,-5.495801171081668
20190919,확대,2,-5.901266279189833
20190919,화학물질관리법,1,-6.594413459749778
20190919,화학물질,1,-6.594413459749778
20190919,화제,1,-6.594413459749778
20190919,화재감지기,3,-5.495801171081668
20190919,화재,9,-4.397188882413559
20190919,화장실,3,-5.495801171081668
20190919,화요일,1,-6.594413459749778
20190919,화애락진,1,-6.594413459749778
20190919,화성을,1,-6.594413459749778
20190919,화성연쇄살인사건,57,-2.551362191915228
20190919,화성연쇄살인범,1,-6.594413459749778
20190919,화성연쇄살인,8,-4.514971918069943
20190919,화성연쇄사건,1,-6.594413459749778
20190919,화성시,17,-3.761200115693562
20190919,화성사건,13,-4.029464102288241
20190919,화성근로자종합복지관,1,-6.594413459749778
20190919,화성군,21,-3.549891022026355
20190919,화성경찰서,8,-4.514971918069943
20190919,화성,163,-1.5006632589430158
20190919,화상,3,-5.495801171081668
20190919,화병,1,-6.594413459749778
20190919,화곡동,1,-6.594413459749778
20190919,화경솔밭버섯,2,-5.901266279189833
20190919,화경솔밭,2,-5.901266279189833
20190919,화가,1,-6.594413459749778
20190919,홍현주,1,-6.594413459749778
20190919,홍태호,1,-6.594413459749778
20190919,홍진영,1,-6.594413459749778
20190919,홍제,1,-6.594413459749778
20190919,홍정길,1,-6.594413459749778
20190919,홍장범,1,-6.594413459749778
20190919,홍영한,1,-6.594413459749778
20190919,홍영근,1,-6.594413459749778
20190919,홍양,1,-6.594413459749778
20190919,홍씨,2,-5.901266279189833
20190919,홍삼제품,1,-6.594413459749778
20190919,홍보활동,1,-6.594413459749778
20190919,홍보,1,-6.594413459749778
20190919,홍모,1,-6.594413459749778
20190919,홍남기,3,-5.495801171081668
20190919,홍경천,1,-6.594413459749778
20190919,홈페이지,6,-4.802653990521723
20190919,호흡증,3,-5.495801171081668
20190919,호흡,1,-6.594413459749778
20190919,호세,1,-6.594413459749778
20190919,호랑이,1,-6.594413459749778
20190919,호남,1,-6.594413459749778
20190919,호기심,1,-6.594413459749778
20190919,형호군,1,-6.594413459749778
20190919,형평성,2,-5.901266279189833
20190919,형사처벌,5,-4.984975547315678
20190919,형사절차,1,-6.594413459749778
20190919,형사재판,1,-6.594413459749778
20190919,형사소송법,2,-5.901266279189833
20190919,형사상,2,-5.901266279189833
20190919,형사사건,3,-5.495801171081668
20190919,형사부,7,-4.648503310694465
20190919,형사계장,2,-5.901266279189833
20190919,형법,1,-6.594413459749778
20190919,협회지,1,-6.594413459749778
20190919,협회장,1,-6.594413459749778
20190919,협회,1,-6.594413459749778
20190919,협진,2,-5.901266279189833
20190919,협조,1,-6.594413459749778
20190919,협의회,2,-5.901266279189833
20190919,협의서,1,-6.594413459749778
20190919,협박,2,-5.901266279189833
20190919,협력업체,3,-5.495801171081668
20190919,협동조합,4,-5.208119098629887
20190919,혐의자,1,-6.594413459749778
20190919,혐의액,1,-6.594413459749778
20190919,혐의,20,-3.5986811861957873
20190919,혐오,1,-6.594413459749778
20190919,혈흔,1,-6.594413459749778
20190919,혈중알코올농도수치,1,-6.594413459749778
20190919,혈중알코올농도,4,-5.208119098629887
20190919,혈액형,12,-4.109506809961777
20190919,혈액,1,-6.594413459749778
20190919,혈소판,1,-6.594413459749778
20190919,혈당강하제,1,-6.594413459749778
20190919,혈관육종암,1,-6.594413459749778
20190919,현화영,2,-5.901266279189833
20190919,현혜순,1,-6.594413459749778
20190919,현행유지,1,-6.594413459749778
20190919,현행범,2,-5.901266279189833
20190919,현직,1,-6.594413459749778
20190919,현지조사,1,-6.594413459749778
20190919,현지법인,2,-5.901266279189833
20190919,현지매체,1,-6.594413459749778
20190919,현지,2,-5.901266279189833
20190919,현장증거물,1,-6.594413459749778
20190919,현장중심,1,-6.594413459749778
20190919,현장조사,2,-5.901266279189833
20190919,현장소장,1,-6.594413459749778
20190919,현장보전,1,-6.594413459749778
20190919,현장검증,1,-6.594413459749778
20190919,현장,8,-4.514971918069943
20190919,현역,2,-5.901266279189833
20190919,현실화,2,-5.901266279189833
20190919,현실감,1,-6.594413459749778
20190919,현시점,1,-6.594413459749778
20190919,현미경,1,-6.594413459749778
20190919,현대제철,1,-6.594413459749778
20190919,현대인,1,-6.594413459749778
20190919,현대의학,1,-6.594413459749778
20190919,현대문화,4,-5.208119098629887
20190919,현대건설,1,-6.594413459749778
20190919,현대,5,-4.984975547315678
20190919,현기증,2,-5.901266279189833
20190919,현금,1,-6.594413459749778
20190919,현관문,1,-6.594413459749778
20190919,현관,2,-5.901266279189833
20190919,혁신,2,-5.901266279189833
20190919,헬싱키,1,-6.594413459749778
20190919,헬스,3,-5.495801171081668
20190919,헬렌켈러법,1,-6.594413459749778
20190919,헨리,1,-6.594413459749778
20190919,헥토파스칼,4,-5.208119098629887
20190919,헤비급,1,-6.594413459749778
20190919,헛발질,1,-6.594413459749778
20190919,헌혈축제,1,-6.594413459749778
20190919,헌의안,1,-6.594413459749778
20190919,헌법재판소,1,-6.594413459749778
20190919,헌법상,2,-5.901266279189833
20190919,헌법불합치,2,-5.901266279189833
20190919,허프,1,-6.594413459749778
20190919,허태정,1,-6.594413459749778
20190919,허위사실,3,-5.495801171081668
20190919,허위기재,1,-6.594413459749778
20190919,허위공시,1,-6.594413459749778
20190919,허용치,1,-6.594413459749778
20190919,허약,1,-6.594413459749778
20190919,허안나,1,-6.594413459749778
20190919,허선윤,1,-6.594413459749778
20190919,허석곤,1,-6.594413459749778
20190919,허물,1,-6.594413459749778
20190919,허그데이,1,-6.594413459749778
20190919,허그,1,-6.594413459749778
20190919,허가서,1,-6.594413459749778
20190919,허가,1,-6.594413459749778
20190919,향상,1,-6.594413459749778
20190919,행태들,2,-5.901266279189833
20190919,행정처분,3,-5.495801171081668
20190919,행정절차,4,-5.208119098629887
20190919,행정안전부,1,-6.594413459749778
20190919,행정심판,1,-6.594413459749778
20190919,행정소송,1,-6.594413459749778
20190919,행정부,3,-5.495801171081668
20190919,행정복지지원센터,1,-6.594413459749778
20190919,행정당국,1,-6.594413459749778
20190919,행정관,9,-4.397188882413559
20190919,행위들,1,-6.594413459749778
20190919,행위,1,-6.594413459749778
20190919,행안부,2,-5.901266279189833
20190919,행사,4,-5.208119098629887
20190919,행복지수,1,-6.594413459749778
20190919,행방,1,-6.594413459749778
20190919,행동력,3,-5.495801171081668
20190919,행동계획,1,-6.594413459749778
20190919,행동,2,-5.901266279189833
20190919,핵연료,1,-6.594413459749778
20190919,핵심협약,1,-6.594413459749778
20190919,해파랑길,1,-6.594413459749778
20190919,해째,1,-6.594413459749778
20190919,해임건의안,3,-5.495801171081668
20190919,해임,1,-6.594413459749778
20190919,해외펀드,1,-6.594413459749778
20190919,해외연수,1,-6.594413459749778
20190919,해외,1,-6.594413459749778
20190919,해안가,3,-5.495801171081668
20190919,해악성,1,-6.594413459749778
20190919,해악,1,-6.594413459749778
20190919,해수온도,1,-6.594413459749778
20190919,해소,2,-5.901266279189833
20190919,해설위원,5,-4.984975547315678
20190919,해상교통관제센터,1,-6.594413459749778
20190919,해상,5,-4.984975547315678
20190919,해사안전법,1,-6.594413459749778
20190919,해리슨,1,-6.594413459749778
20190919,해당지역,1,-6.594413459749778
20190919,해남군,1,-6.594413459749778
20190919,해남,1,-6.594413459749778
20190919,해고자,1,-6.594413459749778
20190919,해고,1,-6.594413459749778
20190919,해경,2,-5.901266279189833
20190919,해결책,2,-5.901266279189833
20190919,해결,1,-6.594413459749778
20190919,항히스타민제,2,-5.901266279189833
20190919,항해,1,-6.594413459749778
20190919,항적도,1,-6.594413459749778
20190919,항적,1,-6.594413459749778
20190919,항의,1,-6.594413459749778
20190919,항암치료,2,-5.901266279189833
20190919,항암제,2,-5.901266279189833
20190919,항소심,12,-4.109506809961777
20190919,항소,1,-6.594413459749778
20190919,항생제,1,-6.594413459749778
20190919,항변기회,1,-6.594413459749778
20190919,항문질환,1,-6.594413459749778
20190919,항로변경,1,-6.594413459749778
20190919,항로,2,-5.901266279189833
20190919,항공료,3,-5.495801171081668
20190919,합천군,1,-6.594413459749778
20190919,합천,1,-6.594413459749778
20190919,합수단,2,-5.901266279189833
20190919,합성수지제,1,-6.594413459749778
20190919,합법성,1,-6.594413459749778
20190919,합리화,1,-6.594413459749778
20190919,합동단속,1,-6.594413459749778
20190919,합동간담회,1,-6.594413459749778
20190919,합계출산율,1,-6.594413459749778
20190919,합격자,1,-6.594413459749778
20190919,합격,1,-6.594413459749778
20190919,함세웅,1,-6.594413459749778
20190919,할머니,1,-6.594413459749778
20190919,할리우드,1,-6.594413459749778
20190919,할롱시,1,-6.594413459749778
20190919,한화에너지,1,-6.594413459749778
20190919,한편,1,-6.594413459749778
20190919,한차례,3,-5.495801171081668
20190919,한쪽,1,-6.594413459749778
20190919,한지혁,1,-6.594413459749778
20190919,한종현,1,-6.594413459749778
20190919,한정규,1,-6.594413459749778
20190919,한전,1,-6.594413459749778
20190919,한자권,1,-6.594413459749778
20190919,한자,1,-6.594413459749778
20190919,한일신학대,1,-6.594413459749778
20190919,한일,1,-6.594413459749778
20190919,한인섭,2,-5.901266279189833
20190919,한인,1,-6.594413459749778
20190919,한의원,1,-6.594413459749778
20190919,한윤서,1,-6.594413459749778
20190919,한원주,1,-6.594413459749778
20190919,한예종,1,-6.594413459749778
20190919,한양대,1,-6.594413459749778
20190919,한씨,1,-6.594413459749778
20190919,한센병,1,-6.594413459749778
20190919,한복판,2,-5.901266279189833
20190919,한보그룹,2,-5.901266279189833
20190919,한보,1,-6.594413459749778
20190919,한병선,1,-6.594413459749778
20190919,한반도,3,-5.495801171081668
20190919,한마디,9,-4.397188882413559
20190919,한림스마트봇,1,-6.594413459749778
20190919,한림대학교의료원,1,-6.594413459749778
20190919,한림대학교성심병원,1,-6.594413459749778
20190919,한림대성심병원,1,-6.594413459749778
20190919,한림대,1,-6.594413459749778
20190919,한라수목원,2,-5.901266279189833
20190919,한동안,1,-6.594413459749778
20190919,한도액,1,-6.594413459749778
20190919,한나절,1,-6.594413459749778
20190919,한기총,1,-6.594413459749778
20190919,한국학원총연합회,1,-6.594413459749778
20190919,한국프레스센터,1,-6.594413459749778
20190919,한국투자증권,1,-6.594413459749778
20190919,한국타이어나눔재단,1,-6.594413459749778
20190919,한국타이어,1,-6.594413459749778
20190919,한국청소년활동진흥원,1,-6.594413459749778
20190919,한국철도시설공단,1,-6.594413459749778
20190919,한국철도,1,-6.594413459749778
20190919,한국전력공사,1,-6.594413459749778
20190919,한국잡월드,1,-6.594413459749778
20190919,한국일보,7,-4.648503310694465
20190919,한국인들,2,-5.901266279189833
20190919,한국음악레이블산업협회,2,-5.901266279189833
20190919,한국은행,1,-6.594413459749778
20190919,한국원자력의학원,1,-6.594413459749778
20190919,한국연구재단,1,-6.594413459749778
20190919,한국여성상담센터,1,-6.594413459749778
20190919,한국여기자협회,1,-6.594413459749778
20190919,한국야구위원회,1,-6.594413459749778
20190919,한국수력원자력,1,-6.594413459749778
20190919,한국성폭력상담소,1,-6.594413459749778
20190919,한국사회,4,-5.208119098629887
20190919,한국보건산업진흥원장,1,-6.594413459749778
20190919,한국보건산업,3,-5.495801171081668
20190919,한국보건사회연구원,1,-6.594413459749778
20190919,한국방송,1,-6.594413459749778
20190919,한국디지털헬스산업협회,1,-6.594413459749778
20190919,한국도핑방지위원회,2,-5.901266279189833
20190919,한국도로공사,3,-5.495801171081668
20190919,한국당,24,-3.4163596294018324
20190919,한국노총,1,-6.594413459749778
20190919,한국노동연구원,1,-6.594413459749778
20190919,한국국방연구원,2,-5.901266279189833
20190919,한국고용연구원,1,-6.594413459749778
20190919,한국,47,-2.7442658580397197
20190919,한구석,1,-6.594413459749778
20190919,한겨레,3,-5.495801171081668
20190919,한강공원,1,-6.594413459749778
20190919,한강,1,-6.594413459749778
20190919,학창시절,1,-6.594413459749778
20190919,학종,2,-5.901266279189833
20190919,학자금,1,-6.594413459749778
20190919,학원업,1,-6.594413459749778
20190919,학원비,1,-6.594413459749778
20190919,학원법하,1,-6.594413459749778
20190919,학원법,1,-6.594413459749778
20190919,학습권,1,-6.594413459749778
20190919,학술지,2,-5.901266279189833
20190919,학생회관,5,-4.984975547315678
20190919,학생부,3,-5.495801171081668
20190919,학생모임,2,-5.901266279189833
20190919,학생들,21,-3.549891022026355
20190919,학생과,1,-6.594413459749778
20190919,학생,1,-6.594413459749778
20190919,학부모,10,-4.291828366755732
20190919,학대,1,-6.594413459749778
20190919,학년도,3,-5.495801171081668
20190919,학교폭력예방법,1,-6.594413459749778
20190919,학교폭력,1,-6.594413459749778
20190919,학교측,1,-6.594413459749778
20190919,학교발전기금,1,-6.594413459749778
20190919,학교,3,-5.495801171081668
20190919,하하호호,1,-6.594413459749778
20190919,하태경,2,-5.901266279189833
20190919,하청업체,1,-6.594413459749778
20190919,하청노동자들,1,-6.594413459749778
20190919,하청노동자,1,-6.594413459749778
20190919,하천,1,-6.594413459749778
20190919,하지불안증후군,2,-5.901266279189833
20190919,하재헌,5,-4.984975547315678
20190919,하장호,1,-6.594413459749778
20190919,하일지,1,-6.594413459749778
20190919,하이브리드,1,-6.594413459749778
20190919,하은,1,-6.594413459749778
20190919,하위권,1,-6.594413459749778
20190919,하씨,2,-5.901266279189833
20190919,하승균,4,-5.208119098629887
20190919,하수처리수,1,-6.594413459749778
20190919,하복부,1,-6.594413459749778
20190919,하버드,1,-6.594413459749778
20190919,하반신,1,-6.594413459749778
