일자,특성추출,문서 식별자,Value
20191003,히스패닉계,1,-6.317164686747284
20191003,히스,1,-6.317164686747284
20191003,희생자,3,-5.218552398079174
20191003,희망퇴직,1,-6.317164686747284
20191003,흥해읍,1,-6.317164686747284
20191003,흡입칫솔,1,-6.317164686747284
20191003,흡입,1,-6.317164686747284
20191003,흡연,1,-6.317164686747284
20191003,흙탕물,1,-6.317164686747284
20191003,흙수저,1,-6.317164686747284
20191003,흙더미,2,-5.6240175061873385
20191003,흑수,1,-6.317164686747284
20191003,흑돼지,1,-6.317164686747284
20191003,흉악범,2,-5.6240175061873385
20191003,흉부외과,2,-5.6240175061873385
20191003,흉막강,1,-6.317164686747284
20191003,흉기난동,2,-5.6240175061873385
20191003,흉기,4,-4.930870325627393
20191003,휴전선,1,-6.317164686747284
20191003,휴장,1,-6.317164686747284
20191003,휴대폰,1,-6.317164686747284
20191003,휴대전화,10,-4.014579593753238
20191003,휴게실,1,-6.317164686747284
20191003,휴게시설,1,-6.317164686747284
20191003,휠더월드,1,-6.317164686747284
20191003,훈련장,5,-4.707726774313183
20191003,훈련,2,-5.6240175061873385
20191003,후쿠이현,1,-6.317164686747284
20191003,후쿠시마,1,-6.317164686747284
20191003,후유,1,-6.317164686747284
20191003,후보자,5,-4.707726774313183
20191003,후반부,1,-6.317164686747284
20191003,후로즌델리,1,-6.317164686747284
20191003,후계자,1,-6.317164686747284
20191003,효자동,1,-6.317164686747284
20191003,효암로,1,-6.317164686747284
20191003,효문사거리,1,-6.317164686747284
20191003,효문,1,-6.317164686747284
20191003,횡령액,2,-5.6240175061873385
20191003,회전기류,2,-5.6240175061873385
20191003,회장님,1,-6.317164686747284
20191003,회의록,1,-6.317164686747284
20191003,회의,1,-6.317164686747284
20191003,회원사,1,-6.317164686747284
20191003,회원들,7,-4.3712545376919705
20191003,회원,2,-5.6240175061873385
20191003,회용,1,-6.317164686747284
20191003,회삿돈,3,-5.218552398079174
20191003,회사원,1,-6.317164686747284
20191003,회사,1,-6.317164686747284
20191003,회령포,1,-6.317164686747284
20191003,회계사,2,-5.6240175061873385
20191003,황토색,1,-6.317164686747284
20191003,황제소환,2,-5.6240175061873385
20191003,황제노역,1,-6.317164686747284
20191003,황씨,1,-6.317164686747284
20191003,황금벌판,1,-6.317164686747284
20191003,황금동,1,-6.317164686747284
20191003,황교안,4,-4.930870325627393
20191003,황강교,3,-5.218552398079174
20191003,활용법,1,-6.317164686747284
20191003,활성화,3,-5.218552398079174
20191003,활성제,1,-6.317164686747284
20191003,활동사례,1,-6.317164686747284
20191003,활동들,1,-6.317164686747284
20191003,활동가,1,-6.317164686747284
20191003,활동,3,-5.218552398079174
20191003,환치기,1,-6.317164686747284
20191003,환자들,1,-6.317164686747284
20191003,환자,2,-5.6240175061873385
20191003,환경부,17,-3.4839513426910678
20191003,환경노동위원회,2,-5.6240175061873385
20191003,환경개선,1,-6.317164686747284
20191003,환경,3,-5.218552398079174
20191003,확진,2,-5.6240175061873385
20191003,확증적,1,-6.317164686747284
20191003,확인차,1,-6.317164686747284
20191003,확인서,1,-6.317164686747284
20191003,확인,6,-4.5254052175192285
20191003,확산,1,-6.317164686747284
20191003,확보,1,-6.317164686747284
20191003,화풀이성,1,-6.317164686747284
20191003,화풀이,1,-6.317164686747284
20191003,화전리,1,-6.317164686747284
20191003,화재,1,-6.317164686747284
20191003,화장실,3,-5.218552398079174
20191003,화수소,1,-6.317164686747284
20191003,화성연쇄살인사건,9,-4.119940109411065
20191003,화성연쇄살인범,1,-6.317164686747284
20191003,화성연쇄살인,2,-5.6240175061873385
20191003,화성시,1,-6.317164686747284
20191003,화성살인사건,1,-6.317164686747284
20191003,화성사건,13,-3.752215329285747
20191003,화성군,2,-5.6240175061873385
