,Value
법무부,0.16028739358140054
운전자,0.15590214606074448
자유한국당,0.13162305193954843
조씨,0.1267763073919636
페이스북,0.12412135944305261
혐의,0.12307658204076134
부장판사,0.1215435871852863
동양대,0.1211947501035689
검찰,0.12035670267526134
사모펀드,0.11722064489377271
정경심,0.11121864570580837
조사,0.10884490689160825
승용차,0.10810012569599595
웰스씨앤티,0.10782522894765942
후보자,0.10167283896618275
윤석열,0.10129511764351944
양형,0.1003003263140787
압수수색,0.10001967212047078
휴대전화,0.0974119111289073
운전,0.09679440372381441
인사청문회,0.09226860253127699
첫날,0.08991896500059814
녹취록,0.08850515196540058
선고,0.08723459498222061
소방당국,0.08697613962642838
장관,0.08562247288218902
변호인,0.08270370698841081
추석연휴,0.0822756225171714
관련자,0.08223370883464451
병원,0.08111148714707056
sns,0.0807967556399207
최씨,0.07995198736431881
사망,0.07916544192948075
동승자,0.07909398787267123
주장,0.07862403466343927
조국,0.07853285174050535
아들,0.07774828339864273
신고,0.07770227552299279
정확,0.07760628248031784
경북,0.07682944746252318
방어권,0.07549087876589797
음주운전,0.07529971694510713
가로등,0.07523908362354637
청와대,0.07480481727768891
상대,0.0735017837600413
대표,0.0734085092322834
시간date,0.07336523849831002
수사과정,0.0728311075685711
검찰총장,0.07262833924070453
강릉,0.07248620779916441
사실상,0.07243822754809934
검찰개혁,0.0717101934547271
코링크pe,0.07160347279343514
서울중앙지법,0.07143657366825176
광주,0.07132940399298282
서울중앙지검,0.07067252232846243
장제원,0.07065006140550842
원인,0.0701100764231965
코링크,0.06972257968468204
재판부,0.06880198174238394
하드디스크,0.0687679599513527
진술,0.06838667265005206
만큼,0.06803951991326893
구속영장,0.06798245819341395
제출,0.06762620931953682
사망자,0.06750116050341427
집행유예,0.06743393873988608
동해,0.06738740823299916
휴대폰,0.06724474733989513
의혹,0.06673781347121253
운용사,0.06598763065377176
무력화,0.06552111187499787
마포구,0.06547932170090447
법조계,0.06420794344939992
제조업체,0.06337075771541481
경찰관,0.06313369152218921
강원,0.06299138218350643
사회관계망서비스,0.0627191621529138
뉴시스,0.06255352690389666
청문회,0.062428039759639814
인근,0.06201063893398789
반론권,0.06168794073132517
추석,0.060867739240728976
cctv,0.060793688217035256
문재인,0.06023576577168952
송파구,0.05999016922886111
대표가,0.05958174071121293
확인,0.05949334943724393
징역형,0.059062949437193264
임의제출,0.059028736922489174
교수,0.05892549995518072
코링크프라이빗에쿼티,0.0587666451169852
연구실,0.05838780988111372
도로교통법,0.057169385495642266
차량,0.05702391941406373
코레일,0.056293862425789876
tv,0.05615786828861117
아파트,0.05615145470512969
전남,0.05587594907441314
보도,0.05576270454232265
벤츠,0.055712136530658575
장용준,0.05502881620586336
그간,0.05489898177044517
영동선,0.054862361029615475
필요성,0.05450999316242453
cc,0.05443588605967126
한국투자증권,0.05416895431902753
허위,0.05392784183761559
진실,0.05330536612928104
마포경찰서,0.05328952108264205
수사팀,0.05290789996249403
조수석,0.052609868981801
투자사,0.05260915403654166
당사자,0.05260915403654166
언론,0.05260915403654166
형사사법절차,0.05260915403654166
박근혜,0.05205130385826366
피의사실,0.05154705995478099
장씨,0.05095940313918515
부장검사,0.05084266343962752
벌금,0.04930555334585852
피의자들,0.04908130527520921
캠핑장,0.048929421282038844
차단기,0.04892942128203884
아반떼,0.04892942128203884
동해시,0.04892942128203884
망상동,0.04892942128203884
무궁화호,0.04892942128203884
최순실,0.04833433433527729
벌금형,0.04800724670040183
현장,0.04769726070063157
청량,0.04761630266927905
사람들,0.04750450029077971
서울남부지법,0.04747178729063682
열차,0.04747145588953253
자신,0.04714360916693547
구조,0.04687546584722969
화재,0.04672690252494951
부상자,0.04654280565086629
부산,0.04579455323325259
부인,0.045501607824390534
기소,0.04537757933493059
음주사고,0.045106346957972686
탑승객,0.0450827047757421
임은정,0.04457014171257815
변호사,0.044547801155659504
재판,0.04437610527295149
형사,0.04437610527295149
판사,0.04437610527295149
대한민국,0.04387866985602055
회삿돈,0.04386869207751278
검사,0.04386087501857656
소환조사,0.04362677319590198
온라인,0.043560246140757694
전개,0.043525187614440075
홍준표,0.043525187614440075
게이트,0.043525187614440075
정권,0.043525187614440075
사회,0.04345634750954692
국민들,0.04337189278643884
피해,0.04307779862749482
광산구,0.04305470443752052
자본시장법,0.042894954316059074
프라이빗뱅커,0.042651463823179546
출발,0.0426332437315055
철길,0.0426332437315055
리행,0.0426332437315055
노엘,0.042463391521083214
위원회,0.042084023780876084
자녀,0.041952325842578915
직원,0.04177098532711683
여의도,0.04169979672457479
명재권,0.041369664514292456
공무원,0.04079731603237786
소방공무원,0.04079731603237786
기관사,0.040660193944555965
부부,0.04018084153858924
형사부,0.04017425243118811
형사처벌,0.039808626479935855
불구속,0.03911885064644541
충남,0.039003052777262695
현관문,0.03899739169586752
보일러실,0.03878382686803687
킥보드,0.038701960687071386
상관의,0.03846863282588671
연휴,0.03840874970421899
전화번호,0.038271401152467625
국가,0.03807529870365595
노동자,0.038060824113261386
표창장,0.03802104046045101
실시간,0.03801313943208692
투자처,0.03792209004371203
경위,0.03780905936765286
결과,0.03736502369717815
주차장,0.03696651085577234
정신과,0.036949678437920484
기자들,0.036853057210144514
고속도로,0.03656277249154446
그동안,0.036084860124930805
소방대,0.035702404346487124
설치,0.03565793592473742
대통령,0.03551842254429836
폭발물,0.035378252467801526
박준민,0.035378252467801526
롯데월드타워,0.035378252467801526
