,Value
관계자,0.21082525228523202
a씨,0.19330587619662096
전화,0.16740913808140045
조사,0.1669987883952469
법무부,0.16110814485099428
경찰,0.15944007666706644
서울,0.15410828169669497
수색,0.1526296029815703
이날,0.1505030913311266
혐의,0.14814327653896436
가능성,0.14423873152998656
경위,0.1440050407744262
대구,0.13131974019537046
남성,0.12924140483707544
정확,0.1281773456589004
압수수색,0.1276235483057324
입건,0.12665557001752292
소방차,0.1261424800290113
서부경찰서,0.12614050661939868
상태,0.12490950895358402
검찰,0.12443524958461835
주택,0.12186519591224453
현주,0.12186519591224453
물방,0.12186519591224453
상황실,0.12116848599526409
사건,0.11998878427934373
건조,0.11971173893520289
상대,0.11762912455042698
방침,0.11670623954281077
체포,0.11670623954281077
진화,0.111428450134588
서구,0.11107171598056491
가능,0.10742182466156112
장관,0.10705368752708033
자유한국당,0.10489703108576608
대화,0.10303332000279664
수사,0.10274396611462427
연기,0.101599625618465
협박,0.10093647252898205
조국,0.09961273961166657
냄새,0.09818839838253952
출동,0.0962661728486576
일반,0.09338528360233612
대정부질문,0.0931916173632886
일반적,0.08979709546155294
검거,0.08963398468788807
주광덕,0.07693276057938689
국회,0.07618411015217118
의원,0.0748367691920796
정경심,0.0740162158712424
골목길,0.07140659142078051
바른미래당,0.07089869630496846
팀장,0.06876848013531554
시간date,0.06718157856033471
현장,0.06429129473213993
소방당국,0.06415559349974195
통화,0.06260456506011837
질문,0.06245808905358016
동양대,0.06154188135856365
피해자,0.0604610126810202
공무원,0.059986067373277004
더불어민주당,0.059567710383753664
서울시교육청,0.058775086722156755
서울중앙지검,0.057030794195210954
발견,0.056787859004195244
고민,0.05542576486710527
b씨,0.05521341031431134
자택,0.05382878241781175
조씨,0.05359527527622091
검사,0.05249149716465807
신고,0.05179654981223306
종로구,0.05173035051702354
페이스북,0.05027329386886787
가방,0.05022494659416022
재판부,0.04983434269708832
웅동학원,0.049685213056943775
배우자,0.048325904632519276
전문가,0.04759531754580519
가족,0.04551537536798366
사실,0.04492605188063495
인천,0.0442842603799407
수사팀장,0.044161026007025705
중리동,0.042967209434023476
이태규,0.04293500591879125
이사장,0.04037676909640931
월요일,0.03968081699603053
서울대,0.03935412034946994
한국당,0.0389915372596121
생각,0.038838858794506916
소환,0.038771243827053554
청와대,0.03756858760451656
